"","gps_lat","gps_num","s_t0","SiteName","timestamp","gps_lon","s_d0","s_d1","s_h0","device_id","s_d2","order"
"1",25.0849566667,14,27.7,"FT1_031","2016-11-12T07:16:05Z",121.573831667,51,64,61.8,"FT1_031",NA,"3"
"2",23.561634,0,27.38,"FT1_CCUME_Factory202","2016-11-12T07:17:02Z",120.479778,43,55,67.76,"FT1_CCUME_Factory202",28,"3"
"3",23.705523,NA,27.4,"FT3_999","2016-11-12T07:17:52Z",120.547142,50,NA,68.2,"FT3_999",NA,"3"
"4",23.667585,0,28.79,"FT1_Dounan_Indoor","2016-11-12T07:17:58Z",120.475413,16,16,67.84,"FT1_Dounan_Indoor",5,"1"
"5",23.561988,4,29.46,"FT1_CCUME_Factory101","2016-11-12T07:18:22Z",120.480085,59,69,58.26,"FT1_CCUME_Factory101",45,"3"
"6",24.9757133333,16,27.4,"FT1_028","2016-11-12T07:19:04Z",121.541146667,45,68,99.9,"FT1_028",NA,"3"
"7",24.98507,16,27.68,"FT1_041","2016-11-12T07:19:06Z",121.517955,70,90,70.89,"FT1_041",NA,"4"
"8",24.76669,12,24.82,"SSPS-Ameba","2016-11-12T07:19:07Z",120.99048,40,51,79.74,"SSPS-Ameba",28,"2"
"9",24.175435,12,26.4,"FT1_966","2016-11-12T07:19:12Z",120.6688,20,24,92.3,"FT1_966",NA,"1"
"10",23.67225,0,32.21,"FT1_Dounan_Outdoor","2016-11-12T07:19:30Z",120.476019,40,47,52.3,"FT1_Dounan_Outdoor",30,"2"
"11",25.1067016667,5,31.4,"FT1_024","2016-11-12T07:19:30Z",121.732995,5,8,33,"FT1_024",NA,"1"
"12",25.0401383333,17,28,"FT1_001","2016-11-12T07:19:33Z",121.614805,51,70,16.2,"FT1_001",NA,"3"
"13",24.9635616667,9,24,"WF_1664490","2016-11-12T07:19:34Z",121.230865,30,33,80.9,"WF_1664490",NA,"2"
"14",24.130994,9,25.6,"FT1_391","2016-11-12T06:50:32Z",120.664453,34,39,96.8,"FT1_391",NA,"2"
"15",24.123305,9,25.4,"FT1_398","2016-11-12T07:14:17Z",120.632213,37,48,99.9,"FT1_398",NA,"2"
"16",22.998725,7,30.7,"YK_160","2016-11-12T07:19:37Z",120.245566667,15,15,69.3,"YK_160",NA,"1"
"17",22.734351,9,28.1,"NUK_RD5F_inside","2016-11-12T07:19:37Z",120.283896,33,37,61.8,"NUK_RD5F_inside",NA,"2"
"18",24.147783,9,28.6,"FT1_394","2016-11-12T06:52:50Z",120.708622,24,26,47.2,"FT1_394",NA,"2"
"19",23.47929,18,0,"FT1_116","2016-11-12T07:19:40Z",120.449111667,28,36,0,"FT1_116",NA,"2"
"20",24.25678,12,27,"FT1_0447A","2016-11-12T07:19:42Z",120.74199,32,34,71,"FT1_0447A",23,"2"
"21",24.68895,9,28.1,"WF_12977044","2016-11-12T07:19:42Z",121.766311667,20,21,59.3,"WF_12977044",NA,"1"
"22",25.020947,12,26,"FT1_23FC","2016-11-12T07:19:45Z",121.57018,59,80,68,"FT1_23FC",38,"3"
"23",24.22674,9,25.3,"FT1_392","2016-11-12T07:16:03Z",120.642577,44,51,99.9,"FT1_392",NA,"3"
"24",24.170593,9,26.3,"FT1_393","2016-11-12T06:54:59Z",120.709916,37,44,45,"FT1_393",NA,"2"
"25",23.76733,10,27,"FT1_928","2016-11-12T07:19:45Z",120.706138333,44,57,83.5,"FT1_928",NA,"3"
"26",24.142931,9,24.7,"FT1_403","2016-11-12T07:18:28Z",120.658821,29,32,85.7,"FT1_403",NA,"2"
"27",23.5567766667,8,27.3,"LASD_62145","2016-11-12T07:19:47Z",120.43399,37,47,89.1,"LASD_62145",NA,"2"
"28",22.735232,9,28.1,"NUK_H1-207_inside","2016-11-12T07:19:47Z",120.281428,32,39,66,"NUK_H1-207_inside",NA,"2"
"29",25.08065,13,24,"LASS-PI_022","2016-11-12T07:19:50Z",121.57187,37,44,15.1,"LASS-PI_022",NA,"2"
"30",24.140582,9,37.1,"FT1_401","2016-11-12T07:19:24Z",120.703321,26,28,28.6,"FT1_401",NA,"2"
"31",22.735424,9,28.3,"NUK_518-1_outside","2016-11-12T07:19:49Z",120.286013,29,36,28.6,"NUK_518-1_outside",NA,"2"
"32",24.922562,9,27.1,"Quchi","2016-11-12T07:10:04Z",121.547141,47,63,12.3,"Quchi",NA,"3"
"33",22.735416,9,27.7,"NUK_518-1_inside","2016-11-12T07:19:49Z",120.28614,32,41,55.9,"NUK_518-1_inside",NA,"2"
"34",25.0807183333,11,26.4,"LASS-PI_014","2016-11-12T07:19:52Z",121.571996667,47,61,82.2,"LASS-PI_014",NA,"3"
"35",34.7997383333,15,18.4,"LASD_CMC_002","2016-11-12T07:19:52Z",135.473031667,7,9,72.3,"LASD_CMC_002",NA,"1"
"36",24.589242,9,27.1,"FT1_035","2016-11-12T07:19:59Z",120.872407,37,56,99.9,"FT1_035",NA,"2"
"37",22.639306,9,29.9,"NUK_Student","2016-11-12T07:19:25Z",120.401961,34,40,24.9,"NUK_Student",NA,"2"
"38",22.733052,9,28.2,"NUK_IM5F_outside","2016-11-12T07:19:53Z",120.28812,33,35,99.9,"NUK_IM5F_outside",NA,"2"
"39",23.8481383333,16,31,"FT1_005","2016-11-12T07:19:57Z",120.28644,25,31,99.9,"FT1_005",NA,"2"
"40",23.4569666667,17,0,"FT1_115","2016-11-12T07:19:57Z",120.441665,34,50,0,"FT1_115",NA,"2"
"41",24.143369,9,28,"FT1_396","2016-11-12T07:19:58Z",120.725813,30,31,67.7,"FT1_396",NA,"2"
